Id_hecho,Nro_victimas,Fecha,Anio,Mes,Dia,Hora,Lugar_hecho,Tipo_calle,Calle,Cruce,Comuna,Long_x,Lat_y,Participantes,Victima,Acusado,Rol,Sexo,Edad,Fecha_fallecimiento,Franja_horaria
2016-0088,1,2016-07-11,2016,Julio,11,15,CERETTI Y NUÑEZ,CALLE,CERETTI,Con_cruce,12,-58.50151750,-34.56767549,PEATON-AUTO,PEATON,AUTO,PEATON,FEMENINO,70,2016-07-14,Tarde
2016-0089,1,2016-07-14,2016,Julio,14,6,AV LUGONES Y LA PAMPA,AUTOPISTA,"LUGONES, LEOPOLDO AV.",Con_cruce,13,-58.43233425,-34.55185825,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,35,2016-07-14,Mañana
2016-0090,1,2016-07-14,2016,Julio,14,22,JERONIMO SALGUERO Y AV RIVADAVIA,AVENIDA,"SALGUERO, JERONIMO",Con_cruce,5,-58.41971993,-34.61112240,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,60,2016-07-15,Noche
2016-0092,1,2016-07-15,2016,Julio,15,11,AV GRAL PAZ Y AV LIBERTADOR ,AUTOPISTA,"PAZ, GRAL. AV.",Con_cruce,13,-58.46743471,-34.53476874,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,24,2016-07-15,Mañana
2016-0093,1,2016-07-17,2016,Julio,17,3,AV JUAN B ALBERDI Y EMILIO MITRE,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",Con_cruce,6,-58.44362126,-34.62301748,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,MASCULINO,35,2016-07-19,Madrugada
2016-0095,1,2016-07-23,2016,Julio,23,6,MERCEDES Y AV GRAL MOSCONI,AVENIDA,MERCEDES,Con_cruce,11,-58.51713095,-34.59546519,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,29,2016-07-23,Mañana
2016-0096,1,2016-07-25,2016,Julio,25,7,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. KM. 2,3",AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,Sin_cruce,8,-58.47433193007387,-34.66684950051973,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,42,2000-01-01,Mañana
2016-0097,1,2016-07-26,2016,Julio,26,18,SOLIS Y MEXICO,CALLE,SOLIS,Con_cruce,1,-58.39038605,-34.61562810,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,80,2016-08-12,Noche
2016-0098,1,2016-07-27,2016,Julio,27,16,AV SAN JUAN Y ALBERTI,AVENIDA,SAN JUAN AV.,Con_cruce,3,-58.40042405,-34.62356174,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,FEMENINO,43,2000-01-01,Tarde
2016-0099,1,2016-07-29,2016,Julio,29,16,AV GRAL MOSCONI Y AV GRAL PAZ,AUTOPISTA,MOSCONI GENERAL AV.,Con_cruce,11,-58.52340614,-34.59798754,CARGAS-CARGAS,CARGAS,CARGAS,CONDUCTOR,MASCULINO,45,2000-01-01,Tarde
